f[Hz]	Si_D(f)	Si_G(f)	Si_G-D(f).re	Si_G-D(f).im
4.4708e+012	3.8204e-016	6.0283e-016	4.3620e-016	1.0101e-016
4.4861e+012	3.8013e-016	6.0027e-016	4.3457e-016	1.0011e-016
4.5013e+012	3.7804e-016	5.9751e-016	4.3275e-016	9.9182e-017
4.5166e+012	3.7574e-016	5.9441e-016	4.3066e-016	9.8252e-017
4.5319e+012	3.7328e-016	5.9099e-016	4.2833e-016	9.7321e-017
4.5471e+012	3.7079e-016	5.8754e-016	4.2598e-016	9.6387e-017
4.5624e+012	3.6829e-016	5.8403e-016	4.2359e-016	9.5451e-017
4.5776e+012	3.6570e-016	5.8022e-016	4.2101e-016	9.4479e-017
4.5929e+012	3.6292e-016	5.7614e-016	4.1821e-016	9.3463e-017
4.6082e+012	3.5993e-016	5.7181e-016	4.1518e-016	9.2440e-017
4.6234e+012	3.5668e-016	5.6720e-016	4.1188e-016	9.1411e-017
4.6387e+012	3.5327e-016	5.6241e-016	4.0839e-016	9.0384e-017
4.6539e+012	3.4982e-016	5.5760e-016	4.0486e-016	8.9354e-017
4.6692e+012	3.4637e-016	5.5273e-016	4.0131e-016	8.8318e-017
4.6844e+012	3.4291e-016	5.4775e-016	3.9770e-016	8.7277e-017
4.6997e+012	3.3942e-016	5.4271e-016	3.9405e-016	8.6210e-017
4.7150e+012	3.3591e-016	5.3763e-016	3.9037e-016	8.5131e-017
4.7302e+012	3.3240e-016	5.3252e-016	3.8667e-016	8.4045e-017
4.7455e+012	3.2885e-016	5.2734e-016	3.8292e-016	8.2943e-017
4.7607e+012	3.2521e-016	5.2204e-016	3.7907e-016	8.1807e-017
4.7760e+012	3.2150e-016	5.1662e-016	3.7514e-016	8.0660e-017
4.7913e+012	3.1777e-016	5.1115e-016	3.7117e-016	7.9511e-017
4.8065e+012	3.1405e-016	5.0563e-016	3.6719e-016	7.8357e-017
4.8218e+012	3.1036e-016	5.0009e-016	3.6322e-016	7.7209e-017
4.8370e+012	3.0669e-016	4.9445e-016	3.5923e-016	7.6060e-017
4.8523e+012	3.0294e-016	4.8862e-016	3.5509e-016	7.4910e-017
4.8676e+012	2.9904e-016	4.8259e-016	3.5078e-016	7.3766e-017
4.8828e+012	2.9506e-016	4.7642e-016	3.4635e-016	7.2616e-017
4.8981e+012	2.9104e-016	4.7013e-016	3.4184e-016	7.1473e-017
4.9133e+012	2.8699e-016	4.6376e-016	3.3729e-016	7.0314e-017
4.9286e+012	2.8296e-016	4.5740e-016	3.3274e-016	6.9159e-017
4.9438e+012	2.7898e-016	4.5101e-016	3.2820e-016	6.8023e-017
4.9591e+012	2.7503e-016	4.4458e-016	3.2365e-016	6.6907e-017
4.9744e+012	2.7109e-016	4.3816e-016	3.1909e-016	6.5804e-017
4.9896e+012	2.6715e-016	4.3174e-016	3.1451e-016	6.4713e-017
5.0049e+012	2.6320e-016	4.2532e-016	3.0991e-016	6.3630e-017
5.0201e+012	2.5921e-016	4.1890e-016	3.0529e-016	6.2550e-017
5.0354e+012	2.5521e-016	4.1244e-016	3.0064e-016	6.1464e-017
5.0507e+012	2.5123e-016	4.0598e-016	2.9600e-016	6.0389e-017
5.0659e+012	2.4728e-016	3.9956e-016	2.9138e-016	5.9331e-017
5.0812e+012	2.4336e-016	3.9316e-016	2.8679e-016	5.8284e-017
5.0964e+012	2.3946e-016	3.8677e-016	2.8222e-016	5.7245e-017
5.1117e+012	2.3556e-016	3.8038e-016	2.7765e-016	5.6205e-017
5.1270e+012	2.3166e-016	3.7398e-016	2.7307e-016	5.5164e-017
5.1422e+012	2.2778e-016	3.6759e-016	2.6851e-016	5.4124e-017
5.1575e+012	2.2389e-016	3.6119e-016	2.6392e-016	5.3086e-017
5.1727e+012	2.1996e-016	3.5477e-016	2.5932e-016	5.2038e-017
5.1880e+012	2.1603e-016	3.4832e-016	2.5469e-016	5.0982e-017
5.2032e+012	2.1208e-016	3.4183e-016	2.5005e-016	4.9925e-017
5.2185e+012	2.0814e-016	3.3533e-016	2.4540e-016	4.8865e-017
5.2338e+012	2.0420e-016	3.2883e-016	2.4075e-016	4.7810e-017
