f[Hz]	Xd(f).re	Xd(f).im	Xg(f).re	Xg(f).im
3.5400e+012	1.7863e-008	-9.7015e-009	-2.0782e-008	4.2411e-009
3.5553e+012	-1.2309e-008	-6.7381e-009	9.5336e-009	1.1948e-008
3.5706e+012	1.5703e-009	4.9946e-009	1.6436e-009	-4.5826e-009
3.5858e+012	-7.3041e-009	9.2014e-010	3.0690e-009	4.4694e-010
3.6011e+012	1.0036e-008	1.3220e-008	-4.7516e-009	-3.1045e-009
3.6163e+012	7.7275e-009	-1.4376e-008	4.8934e-009	9.1474e-009
3.6316e+012	-8.8210e-009	2.9298e-009	8.2839e-009	-1.1613e-008
3.6469e+012	8.8853e-009	-5.8018e-011	-9.5273e-009	-5.1769e-009
3.6621e+012	-2.7434e-009	-6.2765e-009	-3.9296e-009	1.0248e-009
3.6774e+012	1.5510e-009	-1.9473e-009	-5.4175e-009	3.3299e-009
3.6926e+012	-6.3970e-009	-9.3966e-009	-1.0873e-009	4.5683e-009
3.7079e+012	-1.4008e-008	3.4766e-009	-1.5785e-009	1.0273e-008
3.7231e+012	-6.1219e-009	1.3965e-008	1.9362e-008	7.3391e-009
3.7384e+012	9.3568e-009	1.5400e-008	8.4917e-009	-2.2124e-008
3.7537e+012	1.7628e-008	-2.6591e-009	-1.6471e-008	-4.4600e-009
3.7689e+012	2.1660e-009	-1.1261e-008	2.0450e-009	5.8004e-009
3.7842e+012	-7.7432e-010	-3.0631e-009	-3.5238e-009	-6.5356e-009
3.7994e+012	-1.5722e-009	-6.0223e-009	-5.5172e-009	5.9248e-009
3.8147e+012	-3.4628e-009	1.8002e-010	-4.6628e-011	-5.1916e-010
3.8300e+012	-8.7103e-010	-6.5999e-009	-7.0597e-009	1.0329e-008
3.8452e+012	-1.5254e-008	2.6356e-009	1.7980e-008	9.5679e-009
3.8605e+012	4.3622e-009	1.4752e-008	7.6182e-009	-1.9044e-008
3.8757e+012	7.0120e-009	-3.9448e-009	-1.6330e-008	-4.5373e-009
3.8910e+012	-1.9334e-009	-2.1763e-009	-3.2642e-009	1.6350e-008
3.9062e+012	-7.4856e-009	2.5256e-009	2.1845e-008	3.5459e-009
3.9215e+012	8.4412e-009	1.8831e-008	3.3248e-009	-2.7857e-008
3.9368e+012	2.4989e-008	-1.5951e-008	-2.6006e-008	-1.8597e-009
3.9520e+012	-1.7560e-008	-1.9689e-008	-7.6465e-010	1.2990e-008
3.9673e+012	-7.8225e-009	1.0089e-008	-4.8453e-009	2.3216e-009
3.9825e+012	-1.5739e-009	-1.9286e-010	7.1322e-009	1.5232e-008
3.9978e+012	1.5734e-009	9.5279e-009	9.4302e-009	-1.3087e-008
4.0131e+012	1.0522e-008	-1.0437e-008	-1.6671e-008	9.5710e-009
4.0283e+012	-1.8681e-008	-7.9889e-009	2.7092e-008	1.6454e-008
4.0436e+012	-7.9591e-009	1.9528e-008	1.6057e-008	-2.7079e-008
4.0588e+012	1.1095e-008	1.4325e-008	-5.9529e-009	-2.2127e-008
4.0741e+012	2.6756e-008	2.5340e-009	-3.6945e-008	-2.2598e-008
4.0894e+012	1.3528e-008	-4.0483e-008	-3.8391e-008	5.3006e-008
4.1046e+012	-4.7694e-008	-1.5720e-008	5.7652e-008	3.2072e-008
4.1199e+012	-9.6182e-009	4.1810e-008	1.1698e-008	-4.4947e-008
4.1351e+012	2.2950e-008	1.6711e-009	-2.1638e-008	7.5533e-009
4.1504e+012	-2.1584e-009	8.9679e-010	1.7620e-008	-1.7153e-010
4.1656e+012	1.9317e-008	1.4098e-009	-1.4377e-008	-1.9819e-008
4.1809e+012	-6.8579e-010	-2.6339e-008	-1.6451e-008	2.1889e-008
4.1962e+012	-2.2181e-008	2.1848e-009	2.2118e-008	6.8616e-009
4.2114e+012	3.2820e-009	1.0598e-008	-6.1093e-009	-1.0365e-008
4.2267e+012	-2.6287e-009	-3.0511e-009	1.2028e-008	1.1852e-008
4.2419e+012	9.5421e-010	9.4577e-009	1.5032e-009	-2.9549e-008
4.2572e+012	2.9663e-009	-8.1002e-009	-2.3349e-008	1.8592e-008
4.2725e+012	-1.2511e-008	1.5137e-008	2.9866e-008	-7.0966e-009
4.2877e+012	3.2242e-008	9.1067e-009	-3.8934e-008	-2.1772e-008
4.3030e+012	1.0829e-009	-3.5013e-008	-4.8771e-009	4.8119e-008
4.3182e+012	-2.3470e-008	2.5561e-009	3.4737e-008	-1.5871e-009
4.3335e+012	-1.7978e-009	1.1875e-008	6.7498e-009	-2.0870e-008
4.3488e+012	1.3062e-008	7.0548e-009	-2.3544e-008	-1.5002e-008
4.3640e+012	4.4243e-009	-2.3665e-008	-9.4968e-009	3.5949e-008
4.3793e+012	-2.7893e-008	4.2251e-009	3.8227e-008	-4.0312e-009
4.3945e+012	7.2891e-009	1.5243e-008	-8.1364e-009	-2.1418e-008
4.4098e+012	-8.7957e-009	2.8491e-009	5.2662e-009	-4.1277e-009
4.4250e+012	2.0803e-008	2.9661e-008	-2.2175e-008	-2.7904e-008
4.4403e+012	3.7120e-008	-3.4768e-008	-3.9871e-008	3.3084e-008
4.4556e+012	-3.8805e-008	-2.9788e-008	3.5791e-008	3.8871e-008
4.4708e+012	-1.1088e-008	3.5081e-008	2.1569e-008	-3.5662e-008
4.4861e+012	2.6524e-008	-1.2647e-008	-3.1555e-008	9.5928e-009
4.5013e+012	-3.0344e-008	-1.3681e-008	3.7410e-008	1.8013e-008
4.5166e+012	-4.7760e-010	3.0319e-008	-7.1032e-011	-3.9614e-008
4.5319e+012	1.2394e-008	-3.2834e-009	-1.3447e-008	5.5438e-009
4.5471e+012	8.0640e-009	6.6464e-009	-1.1010e-008	-1.5502e-008
4.5624e+012	6.8441e-009	-2.4723e-008	-1.7399e-008	3.4221e-008
4.5776e+012	-2.7329e-008	1.3321e-008	3.6543e-008	-9.2243e-009
4.5929e+012	3.3280e-008	7.9997e-009	-3.5489e-008	-9.7202e-009
4.6082e+012	-1.8140e-008	-3.1985e-008	2.3196e-008	3.4576e-008
4.6234e+012	-1.0995e-008	2.7479e-008	1.0393e-008	-3.1975e-008
4.6387e+012	1.3348e-008	-8.0911e-009	-1.1627e-008	1.0297e-008
4.6539e+012	-8.4051e-009	7.4910e-009	9.7810e-009	-1.4747e-008
4.6692e+012	1.4671e-008	-5.0776e-009	-2.3586e-008	4.1720e-009
4.6844e+012	-1.5006e-008	-6.1392e-009	1.3523e-008	1.4364e-008
4.6997e+012	3.0390e-009	1.3378e-008	3.6730e-009	-1.3024e-008
4.7150e+012	8.1855e-009	-6.9811e-010	-1.2020e-008	-2.8027e-009
4.7302e+012	9.4225e-009	-9.4300e-009	-8.1194e-009	1.7345e-008
4.7455e+012	-1.5095e-008	-1.5462e-008	2.3144e-008	1.1639e-008
4.7607e+012	-1.2818e-008	1.5078e-008	1.2658e-008	-2.0311e-008
4.7760e+012	6.0446e-009	7.1952e-009	-1.0383e-008	-1.4782e-008
4.7913e+012	4.3765e-009	3.1574e-009	-1.6329e-008	4.4681e-009
4.8065e+012	1.9585e-009	-2.7238e-009	9.5969e-009	1.0822e-008
4.8218e+012	2.0421e-009	9.6985e-009	-2.3592e-009	-2.1049e-008
4.8370e+012	2.2061e-008	-8.3842e-009	-2.9346e-008	1.3327e-008
4.8523e+012	-9.6677e-009	-2.6490e-008	1.1676e-008	3.0893e-008
4.8676e+012	-2.2615e-008	3.0870e-009	2.8626e-008	6.2673e-010
4.8828e+012	-5.7196e-009	1.5233e-008	1.0271e-008	-2.4517e-008
4.8981e+012	7.9087e-009	8.7635e-009	-1.6360e-008	-7.1624e-009
4.9133e+012	4.6093e-009	-1.6039e-009	4.6621e-009	3.3234e-009
4.9286e+012	2.7510e-009	8.6826e-010	-8.9544e-009	-1.2186e-008
4.9438e+012	1.7620e-009	-3.9591e-009	-7.7225e-009	1.2717e-008
4.9591e+012	-3.1618e-009	2.1491e-009	7.3706e-009	-4.1968e-009
4.9744e+012	7.0622e-009	3.8899e-009	-1.3478e-008	-1.2673e-009
4.9896e+012	7.5971e-009	-9.9783e-009	-2.4687e-009	1.4956e-008
5.0049e+012	-1.0158e-008	-1.0554e-008	1.0895e-008	9.2865e-009
